STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,PROP_DAMAGE_USD,ALL_INJ,ALL_DEATH,EVENT_TYPE_F,TOTAL_HARM
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.4,-81.42,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Newberry County dispatch reports trees down at Mt. Pleasant Road and Glymphville Road. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.38,-81.41,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Newberry County EM reported a tree down along Broad River Road. Time estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.37,-81.29,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Fairfield County dispatch reports a tree down along Hwy. 215 at Meadow Lake Road. Time  estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.16,-81.43,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Newberry County EM reported a tree down at the intersection of Wheeland and Mill Roads. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.34,-81.2,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Fairfield County dispatch reported trees down in the 7489 block of Highway 213. Time  estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.18,-81.3,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SS Department of Public Safety reported a tree down in the roadway. Time estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.16,-81.2,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SC Dept. of Public Safety reported a tree in the roadway. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,1.00K,32.88,-80.91,Isolated to scattered thunderstorms moved across portions of southeast South Carolina in the mid to late evening hours ahead of an approaching cold front. A few of these storms became strong enough to produce damaging wind gusts.,Colleton County dispatch reported a tree down on Forks Road.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,50.00K,32.79,-79.98,Isolated to scattered thunderstorms moved across portions of southeast South Carolina in the mid to late evening hours ahead of an approaching cold front. A few of these storms became strong enough to produce damaging wind gusts.,"Local broadcast media relayed a public report of a tree down on a home on Minnie Street in West Ashley, causing considerable damage to the home.",50000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.84,-82.34,"Scattered thunderstorms developed across upstate South Carolina during the late afternoon. A few of these storms became strong-to-severe across the foothills, producing hail up to golf ball size and isolated damaging wind gusts.",Utility company reported multiple trees blown down on power lines in Greenville Eastside.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.01,-81.31,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SC Dept. of Public Safety reported a tree in the roadway. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.27,-81,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Trained spotter reported numerous trees down along Hood Rd. through the intersection with Boney Road. Time estimated from radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.31,-80.96,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Report of a tree down and minor damage to a home in Ridgeway. Report via social media.  Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.28,-80.95,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Trained spotter reported trees down and heavy damage between Ridgeway and the county line. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.47,-80.8,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Emergency Manager reports a downed tree on Singleton Creek Road at Liberty Hill Road  blocking the roadway.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.25,-80.91,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",SC Dept. of Public Safety reported a tree in the roadway. Time estimated by radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.27,-80.82,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Emergency Manager reports a downed tree on Smyrna Church Road at Smyrna Road blocking the roadway.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,35.14,-82.46,Isolated thunderstorms developed over upstate South Carolina during the late afternoon and evening. A couple of the storms produced brief severe weather.,Public reported (via Social Media) trees blown down along Highway 25.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.87,-81.96,Isolated thunderstorms developed over upstate South Carolina during the late afternoon and evening. A couple of the storms produced brief severe weather.,Utility company reported trees blown down on power lines.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.62,-81.55,Isolated thunderstorms developed over upstate South Carolina during the late afternoon and evening. A couple of the storms produced brief severe weather.,Utility company reported trees blown down on power lines.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.22,-80.78,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County FD reported a tree down at the intersection of Smyrna Road and Ashley  Creek. Time estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.49,-80.63,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County EM reported a tree down blocking Flat Rock Rd. at the Kershaw/Lancaster county line. Time estimated based on radar.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.16,-80.72,"A significant severe weather event featuring multiple rounds of thunderstorms occurred on May 9th, 2024. The first round, a QLCS, produced three tornadoes in the Midlands of South Carolina.",Kershaw County FD reports a tree down blocking the roadway. Time estimated based on  radar.,0,0,0,Thunderstorm Wind,0
